order_id,sku,date,type,email,total_amount
SHO-87854364,LPC-2005,2025-09-01 05:32:25,order,felix.84@gmx.de,347.13
SHO-90051656,LPC-2005,2025-09-01 14:09:54,order,tim.211@web.de,644.07
SHO-43125173,SMT-1006,2025-09-01 14:17:42,order,julia.832@gmail.com,492.0
SHO-49299376,AUD-3004,2025-09-01 16:16:02,order,tim.118@outlook.com,46.3
SHO-19475982,LPC-2003,2025-09-02 04:07:18,order,thomas.979@gmail.com,581.28
SHO-01664823,SMT-1006,2025-09-02 06:07:49,order,sophie.472@outlook.com,446.07
SHO-11368491,SHW-5001,2025-09-02 10:25:56,order,felix.902@t-online.de,29.3
SHO-61158921,LPC-2006,2025-09-02 13:15:43,order,jan.71@web.de,218.44
SHO-86135023,LPC-2003,2025-09-02 13:34:50,order,jan.833@outlook.com,445.93
SHO-58217947,SMT-1003,2025-09-03 10:52:53,order,markus.375@web.de,189.68
SHO-79751230,SMT-1006,2025-09-03 11:53:06,order,emma.19@t-online.de,233.64
SHO-96372171,LPC-2001,2025-09-03 13:29:47,order,julia.957@web.de,210.08
SHO-23845982,LPC-2004,2025-09-03 13:47:35,order,lisa.387@outlook.com,434.94
SHO-04903250,SMT-1004,2025-09-03 18:09:19,order,david.896@yahoo.de,473.01
SHO-81713020,SMT-1004,2025-09-04 03:07:07,order,laura.222@gmail.com,146.67
SHO-78908116,SMT-1002,2025-09-04 05:14:32,order,markus.508@t-online.de,242.59
SHO-17484444,CAM-4006,2025-09-04 17:12:45,order,felix.462@gmx.de,71.76
SHO-15619120,LPC-2001,2025-09-04 23:59:49,order,paul.580@t-online.de,493.29
SHO-16887971,SMT-1001,2025-09-05 04:13:11,order,marie.680@t-online.de,429.18
SHO-69079056,AUD-3006,2025-09-05 15:25:20,order,marie.344@outlook.com,51.83
SHO-03050890,LPC-2006,2025-09-05 17:02:21,order,julia.322@t-online.de,370.36
SHO-97287136,AUD-3004,2025-09-06 03:06:47,order,sophie.681@yahoo.de,31.21
SHO-24583405,LPC-2001,2025-09-06 07:09:53,order,anna.11@gmx.de,348.17
